,fighter1,fighter2,event_name,event_date,details,result,fighter_name
0,Christina Marks,Montana De La Rosa,The Ultimate Fighter Finale Modafferi vs Montano,"Dec 1, 2017",Live on TSN 5,Loss,Christina Marks
0,Nate Marquardt,Cezar Ferreira,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Loss,Nate Marquardt
1,Vitor Belfort,Nate Marquardt,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Loss,Nate Marquardt
2,Nate Marquardt,Sam Alvey,UFC Fight Night Shevchenko vs Pena,"Jan 28, 2017",Live on TSN 5,Loss,Nate Marquardt
3,Nate Marquardt,Tamdan McCrory,UFC Fight Night Lineker vs Dodson,"Oct 1, 2016",Live on TSN 2,Win,Nate Marquardt
4,Thiago Santos,Nate Marquardt,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,Loss,Nate Marquardt
5,CB Dollaway,Nate Marquardt,UFC Fight Night dos Anjos vs Cowboy 2,"Dec 19, 2015",Live on FOX,Win,Nate Marquardt
6,Kelvin Gastelum,Nate Marquardt,UFC 188 Velasquez vs. Werdum,"Jun 13, 2015",Live on Pay-Per-View,Loss,Nate Marquardt
7,Brad Tavares,Nate Marquardt,UFC 182 Jones vs. Cormier,"Jan 3, 2015",Live on Pay-Per-View,Loss,Nate Marquardt
8,James Te Huna,Nate Marquardt,UFC Fight Night Te Huna vs. Marquardt,"Jun 28, 2014",UFC Fight Pass,Win,Nate Marquardt
9,Nate Marquardt,Hector Lombard,UFC 166 Live on Pay-Per-View,"Oct 19, 2013",Velasquez vs. Dos Santos 3,Loss,Nate Marquardt
10,Jake Ellenberger,Nate Marquardt,UFC 158 Live on Pay-Per View,"Mar 16, 2013",St-Pierre vs. Diaz,Loss,Nate Marquardt
11,Nate Marquardt,Tarec Saffiedine,STRIKEFORCE®,"Jan 12, 2013",Marquardt vs. Saffiedine,,Nate Marquardt
12,Tyron Woodley,Nate Marquardt,STRIKEFORCE 2,"Jul 14, 2012",Rockhold vs. Kennedy,,Nate Marquardt
13,Dan Miller,Nate Marquardt,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Win,Nate Marquardt
14,Nate Marquardt,Yushin Okami,UFC® 122,"Nov 13, 2010",MARQUARDT vs OKAMI,Loss,Nate Marquardt
15,Nate Marquardt,Rousimar Palhares,UFC® Fight Night™,"Sep 15, 2010",:MARQUARDT vs PALHARES,Win,Nate Marquardt
16,Chael Sonnen,Nate Marquardt,UFC® 109,"Feb 6, 2010",RELENTLESS,Loss,Nate Marquardt
17,Nate Marquardt,Demian Maia,UFC® 102,"Aug 29, 2009",COUTURE vs NOGUEIRA,Win,Nate Marquardt
18,Nate Marquardt,Wilson Gouveia,UFC® 95,"Feb 21, 2009",SANCHEZ vs STEVENSON,Win,Nate Marquardt
19,Nate Marquardt,Martin Kampmann,UFC® 88,"Sep 6, 2008",BREAKTHROUGH,Win,Nate Marquardt
20,Thales Leites,Nate Marquardt,UFC® 85,"Jun 7, 2008",BEDLAM,Loss,Nate Marquardt
21,Nate Marquardt,Jeremy Horn,UFC® 81,"Feb 2, 2008",BREAKING POINT,Win,Nate Marquardt
22,Anderson Silva,Nate Marquardt,UFC® 73,"Jul 7, 2007",STACKED,,Nate Marquardt
23,Nate Marquardt,Dean Lister,UFC® Fight Night™,"Jan 25, 2007",EVANS vs SALMON,Win,Nate Marquardt
24,Nate Marquardt,Crafton Wallace,Ortiz vs Shamrock 3,"Oct 10, 2006",The Final Chapter,Win,Nate Marquardt
25,Nate Marquardt,Joe Doerksen,UFC® 58,"Mar 4, 2006",USA vs. Canada,Win,Nate Marquardt
26,Nate Marquardt,Ivan Salaverry,UFC® Fight Night™,"Aug 6, 2005",1,Win,Nate Marquardt
0,Brandon Vera,Eliot Marshall,UFC® 137,"Oct 29, 2011",Penn vs. Diaz,Loss,Eliot Marshall
1,Luiz Cane,Eliot Marshall,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Loss,Eliot Marshall
2,Eliot Marshall,Vladimir Matyushenko,UFC® on Versus,"Mar 21, 2010",VERA vs JONES,Loss,Eliot Marshall
3,Eliot Marshall,Jason Brilz,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Win,Eliot Marshall
4,Eliot Marshall,Vinny Magalhaes,UFC® 97,"Apr 18, 2009",REDEMPTION,Win,Eliot Marshall
5,Eliot Marshall,Jules Bruchez,The Ultimate Fighter® Finale,"Dec 13, 2008",Team Nog vs Team Mir,Win,Eliot Marshall
0,Richie Vaculik,Danny Martinez,UFC 193 Rousey vs Holm,"Nov 14, 2015",Live on Pay-Per-View,Win,Danny Martinez
1,Danny Martinez,Sirwan Kakai,UFC Fight Night Machida vs. Romero,"Jun 27, 2015",TSN,Loss,Danny Martinez
2,Scott Jorgensen,Danny Martinez,UFC Fight Night,"Jun 7, 2014",Henderson vs Khabilov,Loss,Danny Martinez
3,Chris Cariaso,Danny Martinez,UFC 169 Live on Pay-Per-View,"Feb 1, 2014",Barao vs. Faber,Loss,Danny Martinez
4,Joseph Benavidez,Danny Martinez,WEC 37,"Dec 3, 2008",Torres vs. Tapia,Loss,Danny Martinez
0,Daron Cruickshank,Henry Martinez,UFC®,"Dec 8, 2012",Henderson vs. Diaz,Loss,Henry Martinez
1,Henry Martinez,Bernardo Magalhaes,UFC®,"Jun 8, 2012",Johnson vs. McCall,Win,Henry Martinez
2,Matthew Riddle,Henry Martinez,UFC® 143,"Feb 4, 2012",Diaz vs. Condit,Loss,Henry Martinez
0,Rob Whiteford,Lucas Martins,UFC Fight Night Rothwell vs. Dos Santos,"Apr 10, 2016",TSN 2,Win,Lucas Martins
1,Lucas Martins,Mirsad Bektic,UFC Fight Night Condit vs. Alves,"May 30, 2015",TSN,Loss,Lucas Martins
2,Darren Elkins,Lucas Martins,UFC 179 Aldo vs. Mendes 2,"Oct 25, 2014",Live on Pay-Per-View,Loss,Lucas Martins
3,Lucas Martins,Alex White,UFC Fight Night Cerrone vs. Miller,"Jul 16, 2014",Sportsnet 360,Win,Lucas Martins
4,Lucas Martins,Junior Hernandez,UFC,"Sep 4, 2013",Teixeira vs. Bader Teixeira vs. Bader:Sept. 4 on FOX Sports 1,Win,Lucas Martins
5,Lucas Martins,Jeremy Larsen,UFC on FX 8 Live from Brazil,"May 18, 2013",Belfort vs. Rockhold,Win,Lucas Martins
6,Edson  Barboza,Lucas Martins,UFC ON SPORTSNET,"Jan 19, 2013",Belfort vs. Bisping,Loss,Lucas Martins
0,Viscardi Andrade,Bristol Marunde,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Loss,Bristol Marunde
1,Bristol Marunde,Clint Hester,The Ultimate Fighter 17 Finale,"Apr 13, 2013",,Loss,Bristol Marunde
2,Ronaldo Souza,Bristol Marunde,Strikeforce - Tate vs. Rousey,"Mar 3, 2012",,Loss,Bristol Marunde
0,Mike Massenzio,Karlos Vemola,UFC®,"May 5, 2012",Diaz vs. Milller,Loss,Mike Massenzio
1,Rousimar Palhares,Mike Massenzio,UFC® RIO,"Jan 14, 2012",Aldo vs. Mendes,Loss,Mike Massenzio
2,Steve Cantwell,Mike Massenzio,UFC® 136,"Oct 8, 2011",EDGAR vs. MAYNARD III,Win,Mike Massenzio
3,Mike Massenzio,Krzysztof Soszynski,UFC® 131,"Jun 11, 2011",DOS SANTOS vs. CARWIN,Loss,Mike Massenzio
4,Brian Stann,Mike Massenzio,UFC® LIVE,"Aug 1, 2010",JONES vs MATYUSHENKO,Loss,Mike Massenzio
5,CB Dollaway,Mike Massenzio,UFC® 92,"Dec 27, 2008",THE ULTIMATE 2008,Loss,Mike Massenzio
6,Mike Massenzio,Drew McFedries,UFC® Fight Night™,"Sep 17, 2008",Diaz vs Neer,Win,Mike Massenzio
0,Tateki Matsuda,Joby Sanchez,UFC Fight Night McGregor vs. Siver,"Jan 18, 2015",TSN 2,Loss,Tateki Matsuda
1,Chris Beal,Tateki Matsuda,UFC Fight Night Jacare vs. Mousasi,"Sep 5, 2014",UFC FIGHT PASS,Loss,Tateki Matsuda
0,Ryan Bader,Vladimir Matyushenko,UFC,"Jan 26, 2013",Johnson vs. Dodson,Loss,Vladimir Matyushen...
1,Vladimir Matyushenko,Alexander Gustafsson,UFC® 141,"Dec 30, 2011",Lesnar vs. Overeem,Loss,Vladimir Matyushen...
2,Vladimir Matyushenko,Jason Brilz,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Win,Vladimir Matyushen...
3,Vladimir Matyushenko,Alexandre  Ferreira,UFC® 122,"Nov 13, 2010",MARQUARDT vs OKAMI,Win,Vladimir Matyushen...
4,Jon Jones,Vladimir Matyushenko,UFC® LIVE,"Aug 1, 2010",JONES vs MATYUSHENKO,Loss,Vladimir Matyushen...
5,Eliot Marshall,Vladimir Matyushenko,UFC® on Versus,"Mar 21, 2010",VERA vs JONES,Win,Vladimir Matyushen...
6,Vladimir Matyushenko,Igor Pokrajac,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Win,Vladimir Matyushen...
7,Antonio Rogerio Nogueira,Vladimir Matyushenko,Affliction - Day of Reckoning,"Jan 24, 2009",,Loss,Vladimir Matyushen...
8,Vladimir Matyushenko,Alex Schoenauer,IFL - World Grand Prix Semifinals,"Nov 3, 2007",,Win,Vladimir Matyushen...
9,Andrei Arlovski,Vladimir Matyushenko,UFC® 44,"Sep 26, 2003",Undisputed,Loss,Vladimir Matyushen...
10,Vladimir Matyushenko,Pedro Rizzo,UFC® 41,"Feb 28, 2003",Onslaught,Win,Vladimir Matyushen...
11,Vladimir Matyushenko,Travis Wiuff,UFC® 40,"Nov 22, 2002",Vendetta,Win,Vladimir Matyushen...
12,Tito Ortiz,Vladimir Matyushenko,UFC® 33,"Sep 28, 2001",Victory In Vegas,,Vladimir Matyushen...
13,Vladimir Matyushenko,Yuki Kondo,UFC® 32,"Jun 29, 2001",Showdown In The Meadowlands,Win,Vladimir Matyushen...
0,Shawn Jordan,Jack May,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Loss,Jack May
1,Derrick Lewis,Jack May,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Loss,Jack May
0,Sean McCorkle,Christian Morecraft,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Loss,Sean McCorkle
1,Stefan Struve,Sean McCorkle,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Loss,Sean McCorkle
2,Mark Hunt,Sean McCorkle,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Win,Sean McCorkle
0,John Hathaway,Kris McCray,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Loss,Kris McCray
1,Kris McCray,Carlos Eduardo Rocha,UFC® 122,"Nov 13, 2010",MARQUARDT vs OKAMI,Loss,Kris McCray
2,Court McGee,Kris McCray,The Ultimate Fighter® FINALE,"Jun 19, 2010",Team Liddell vs Team Ortiz,,Kris McCray
0,Nate Marquardt,Tamdan McCrory,UFC Fight Night Lineker vs Dodson,"Oct 1, 2016",Live on TSN 2,Loss,Tamdan McCrory
1,Tamdan McCrory,Krzysztof Jotko,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Loss,Tamdan McCrory
2,Josh Samman,Tamdan McCrory,UFC Fight Night dos Anjos vs Cowboy 2,"Dec 19, 2015",Live on FOX,Win,Tamdan McCrory
3,John  Howard,Tamdan McCrory,UFC® 101,"Aug 8, 2009",DECLARATION,Loss,Tamdan McCrory
4,Tamdan McCrory,Ryan Madigan,UFC® 96,"Mar 7, 2009",JACKSON vs JARDINE,Win,Tamdan McCrory
5,Dustin Hazelett,Tamdan McCrory,UFC® 91,"Nov 15, 2008",COUTURE vs LESNAR,Loss,Tamdan McCrory
6,Tamdan McCrory,Luke Cummo,UFC® 87,"Aug 9, 2008",SEEK AND DESTROY,Win,Tamdan McCrory
7,Akihiro Gono,Tamdan McCrory,UFC® 78,"Nov 17, 2007",VALIDATION,Loss,Tamdan McCrory
8,Tamdan McCrory,Pete Spratt,UFC® Fight Night™,"Jun 12, 2007",STOUT vs FISHER,Win,Tamdan McCrory
0,Bubba McDaniel,Sean Strickland,UFC 171 Hendricks vs. Lawler,"Mar 15, 2014",Live on Pay-Per-View,Loss,Bubba McDaniel
1,Brad Tavares,Bubba McDaniel,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Loss,Bubba McDaniel
2,Bubba McDaniel,Gilbert Smith,The Ultimate Fighter 17 Finale Live from Las Vegas,"Apr 13, 2013",Faber vs. Jorgensen,Win,Bubba McDaniel
0,Michael McDonald,John Lineker,UFC Fight Night McDonald vs Lineker,"Jul 13, 2016",Live on TSN 2,Loss,Michael McDonald
1,Michael McDonald,Masanori Kanehara,UFC 195 Lawler vs Condit,"Jan 2, 2016",Live on Pay-Per-View,Win,Michael McDonald
2,Urijah Faber,Michael McDonald,UFC Fight Night Live on Sportsnet 360,"Dec 14, 2013",Johnson vs. Benavidez 2,Loss,Michael McDonald
3,Brad Pickett,Michael McDonald,UFC,"Aug 17, 2013",Shogun vs. Sonnen Live on SN 360:Live from Boston,Win,Michael McDonald
4,Renan Barao,Michael McDonald,UFC London Interim Bantamweight Title Fight,"Feb 16, 2013",Barao vs. McDonald,,Michael McDonald
5,Miguel Angel Torres,Michael McDonald,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Win,Michael McDonald
6,Michael McDonald,Alex Soto,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Win,Michael McDonald
7,Michael McDonald,Chris Cariaso,UFC® 130,"May 28, 2011",Rampage vs. Hamill,Win,Michael McDonald
8,Michael McDonald,Edwin Figueroa,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Win,Michael McDonald
9,Clint Godfrey,Michael McDonald,WEC 52,"Nov 11, 2010",Faber vs. Mizugaki,Win,Michael McDonald
0,Tomasz Drwal,Drew McFedries,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Loss,Drew McFedries
1,Drew McFedries,Xavier Foupa-Pokam,UFC® 98,"May 23, 2009",EVANS vs MACHIDA,Win,Drew McFedries
2,Thales Leites,Drew McFedries,UFC® 90,"Oct 25, 2008",SILVA vs COTE,Loss,Drew McFedries
3,Mike Massenzio,Drew McFedries,UFC® Fight Night™,"Sep 17, 2008",Diaz vs Neer,Loss,Drew McFedries
4,Drew McFedries,Marvin Eastman,The Ultimate Fighter® Finale,"Jun 21, 2008",Team Rampage vs Team Forrest,Win,Drew McFedries
5,Patrick Cote,Drew McFedries,UFC® Fight Night™,"Jan 23, 2008",SWICK vs BURKMAN,Loss,Drew McFedries
6,Drew McFedries,Jordan Radev,UFC® Fight Night™,"Jun 12, 2007",STOUT vs FISHER,Win,Drew McFedries
7,Martin Kampmann,Drew McFedries,UFC® 68,"Mar 3, 2007",THE UPRISING,Loss,Drew McFedries
8,Drew McFedries,Alessio Sakara,UFC® 65,"Nov 18, 2006",BAD INTENTIONS,Win,Drew McFedries
0,Ryan  McGilivray,Shamar Bailey,The Ultimate Fighter®,"Jun 4, 2011",Team Lesnar vs. Team Dos Santos Finale,Loss,Ryan  McGilivray
0,Shinya Aoki,Antonio McKee,DREAM 18,"Dec 31, 2012",,Loss,Antonio McKee
1,Jacob Volkmann,Antonio McKee,UFC® 125,"Jan 1, 2011",RESOLUTION,Loss,Antonio McKee
2,Antonio McKee,Jason Black,WFA 1,"Nov 3, 2001",,DRAW,Antonio McKee
0,Sam Stout,Cody McKenzie,UFC Fight Night Live on Sportsnet 360,"Dec 14, 2013",Johnson vs. Benavidez 2,Loss,Cody McKenzie
1,Leonard Garcia,Cody McKenzie,UFC 159  Live on Pay-Per View,"Apr 27, 2013",Jones vs. Sonnen,Win,Cody McKenzie
2,Chad Mendes,Cody McKenzie,UFC® 148,"Jul 7, 2012",Silva vs. Sonnen II,Loss,Cody McKenzie
3,Cody McKenzie,Marcus LeVesseur,UFC,"May 15, 2012",Korean Zombie vs. Poirier,Win,Cody McKenzie
4,Cody McKenzie,Vagner Rocha,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Cody McKenzie
5,Cody McKenzie,Yves Edwards,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Loss,Cody McKenzie
6,Cody McKenzie,Aaron Wilkinson,The Ultimate Fighter® 12,"Dec 4, 2010",Team GSP vs Team Koscheck Finale,Win,Cody McKenzie
0,Garreth McLellan,Paulo Costa,UFC Fight Night Belfort vs Gastelum,"Mar 11, 2017",Live on TSN 5,Loss,Garreth McLellan
1,Garreth McLellan,Alessio Di Chirico,UFC Fight Night Maia vs Condit,"Aug 27, 2016",Live on CTV Two,Loss,Garreth McLellan
2,Magnus Cedenblad,Garreth McLellan,UFC Fight Night Overeem vs. Arlovski,"May 8, 2016",TSN 2,Loss,Garreth McLellan
3,Bubba Bush,Garreth McLellan,UFC Fight Night Holohan vs. Smolka,"Oct 24, 2015",UFC FIGHT PASS,Win,Garreth McLellan
4,Bartosz Fabinski,Garreth McLellan,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Loss,Garreth McLellan
0,Anistavio Medeiros,Rodrigo Damm,UFC® 147,"Jun 23, 2012",Silva vs. Franklin II,Loss,Anistavio Medeiros
0,Kelvin Gastelum,Brian Melancon,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Loss,Brian Melancon
1,Seth Baczynski,Brian Melancon,UFC 162 Live from Las Vegas,"Jul 6, 2013",Silva vs. Weidman,Win,Brian Melancon
2,Brian Melancon,Felipe Portela,Strikeforce Challengers 19,"Sep 23, 2011",,Win,Brian Melancon
3,Brian Melancon,Isaac Vallie-Flagg,Strikeforce - Overeem vs. Werdum,"Jun 18, 2011",,Loss,Brian Melancon
0,Daniel Sarafian,Eddie Mendez,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,Loss,Eddie Mendez
1,Fernando Gonzalez,Eddie Mendez,Strikeforce - Melendez vs. Masvidal,"Dec 17, 2011",,Win,Eddie Mendez
0,Hatsu Hioki,Ivan Menjivar,UFC Fight Night Kim vs. Hathaway,"Mar 1, 2014",UFC Fight Pass,Loss,Ivan Menjivar
1,Ivan Menjivar,Wilson Reis,UFC 165 Live on Pay-Per-View,"Sep 21, 2013",Jones vs. Gustafsson,Loss,Ivan Menjivar
2,Urijah Faber,Ivan Menjivar,UFC 157,"Feb 23, 2013",Rousey vs. Carmouche,Loss,Ivan Menjivar
3,Ivan Menjivar,Azamat Gashimov,UFC® 154,"Nov 17, 2012",St-Pierre vs. Condit,Win,Ivan Menjivar
4,Ivan Menjivar,Mike Easton,UFC® 148,"Jul 7, 2012",Silva vs. Sonnen II,Loss,Ivan Menjivar
5,Ivan Menjivar,John Albert,UFC®,"Feb 15, 2012",Sanchez vs. Ellenberger,Win,Ivan Menjivar
6,Ivan Menjivar,Nick  Pace,UFC® 133,"Aug 6, 2011",Evans vs. Ortiz,Win,Ivan Menjivar
7,Ivan Menjivar,Charlie Valencia,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Win,Ivan Menjivar
8,Ivan Menjivar,Brad Pickett,WEC 53,"Dec 16, 2010",Henderson vs. Pettis,Loss,Ivan Menjivar
9,Matt Serra,Ivan Menjivar,UFC® 48,"Jun 19, 2004",Payback,Loss,Ivan Menjivar
10,Georges St-Pierre,Ivan Menjivar,UCC 7,"Jan 25, 2002",,Loss,Ivan Menjivar
0,Arnold Allen,Yaotzin Meza,UFC Fight Night Silva vs. Bisping,"Feb 27, 2016",Live on Fight Network,Loss,Yaotzin Meza
1,Sam Sicilia,Yaotzin Meza,UFC Fight Night Mir vs. Duffee,"Jul 15, 2015",TSN 4/5,Loss,Yaotzin Meza
2,Damian Stasiak,Yaotzin Meza,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Win,Yaotzin Meza
3,Yaotzin Meza,Sergio Pettis,UFC Fight Night,"Jun 7, 2014",Henderson vs Khabilov,Loss,Yaotzin Meza
4,Chico Camus,Yaotzin Meza,UFC Fight Night Live on Sportsnet 360,"Jan 25, 2014",Henderson vs. Thomson,NO CONTEST,Yaotzin Meza
5,John Albert,Yaotzin Meza,UFC on FOX 8 Live from Seattle,"Jul 27, 2013",Johnson vs. Moraga,Win,Yaotzin Meza
6,Chad Mendes,Yaotzin Meza,UFC on FX,"Dec 14, 2012",Sotiropoulos vs. Pearson,Loss,Yaotzin Meza
0,Olivier Aubin-Mercier,David Michaud,UFC 186 Johnson vs. Horiguchi,"Apr 25, 2015",Live on Pay-Per-View,Loss,David Michaud
1,David Michaud,Garett Whiteley,UFC Fight Night Dos Santos vs. Miocic,"Dec 13, 2014",Sportsnet 360,Win,David Michaud
2,David Michaud,Li Jingliang,UFC 173 Barao vs. Dillashaw,"May 24, 2014",Live on Pay-Per-View,Loss,David Michaud
0,Cole Miller,Mizuto Hirota,UFC Fight Night VanZant vs Waterson,"Dec 17, 2016",Live on TSN 4 & 5,Loss,Cole Miller
1,Cole Miller,Alex Caceres,UFC 199 Rockhold vs. Bisping 2,"Jun 4, 2016",Live on Pay-Per-View,Loss,Cole Miller
2,Cole Miller,Jim Alers,UFC Fight Night dos Anjos vs Cowboy 2,"Dec 19, 2015",Live on FOX,NO CONTEST,Cole Miller
3,Max Holloway,Cole Miller,UFC Fight Night Henderson vs. Thatch,"Feb 14, 2015",TSN 5,Loss,Cole Miller
4,Cole Miller,Sam Sicilia,UFC Fight Night Live on Sportsnet 360,"Jan 15, 2014",Rockhold vs. Philippou,Win,Cole Miller
5,Andy Ogle,Cole Miller,UFC Fight Night Live on Sportsnet,"Oct 26, 2013",Machida vs. Munoz,Win,Cole Miller
6,Manny Gamburyan,Cole Miller,UFC,"Aug 17, 2013",Shogun vs. Sonnen Live on SN 360:Live from Boston,Loss,Cole Miller
7,Cole Miller,Bart Palaszewski,The Ultimate Fighter 17 Finale Live from Las Vegas,"Apr 13, 2013",Faber vs. Jorgensen,Win,Cole Miller
8,Cole Miller,Nam Phan,UFC® on FOX,"Aug 4, 2012",Shogun vs. Vera,Loss,Cole Miller
9,Cole Miller,Steven Siler,UFC,"Mar 2, 2012",Alves vs. Kampmann,Loss,Cole Miller
10,Cole Miller,TJ O'Brien,UFC LIVE,"Aug 14, 2011",Hardy vs. Lytle,Win,Cole Miller
11,Cole Miller,Matt Wiman,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Loss,Cole Miller
12,Cole Miller,Ross Pearson,UFC® Fight Night™,"Sep 15, 2010",:MARQUARDT vs PALHARES,Win,Cole Miller
13,Cole Miller,Dan Lauzon,UFC® 108,"Jan 2, 2010",EVANS vs SILVA,Win,Cole Miller
14,Efrain Escudero,Cole Miller,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Loss,Cole Miller
15,Cole Miller,Junie Browning,UFC® Fight Night™,"Apr 1, 2009",CONDIT vs KAMPMANN,Win,Cole Miller
16,Cole Miller,Jorge Gurgel,UFC® 86,"Jul 5, 2008",JACKSON vs GRIFFIN,Win,Cole Miller
17,Jeremy Stephens,Cole Miller,UFC® Fight Night™,"Jan 23, 2008",SWICK vs BURKMAN,Loss,Cole Miller
18,Cole Miller,Leonard Garcia,UFC® Fight Night™,"Sep 19, 2007",THOMAS vs FLORIAN,Win,Cole Miller
19,Cole Miller,Andy Wang,The Ultimate Fighter® 5,"Jun 23, 2007",Finale,Win,Cole Miller
0,Dan Miller,Trevor Smith,UFC Fight Night Ellenberger vs. Thompson,"Jul 12, 2015",TSN,Loss,Dan Miller
1,Dan Miller,Jordan Mein,UFC 158 Live on Pay-Per View,"Mar 16, 2013",St-Pierre vs. Diaz,Loss,Dan Miller
2,Dan Miller,Ricardo Funch,UFC on FX,"Jun 22, 2012",Maynard vs. Guida,Win,Dan Miller
3,Rousimar Palhares,Dan Miller,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Loss,Dan Miller
4,Dan Miller,Nate Marquardt,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Loss,Dan Miller
5,Joe Doerksen,Dan Miller,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Win,Dan Miller
6,Dan Miller,John Salter,UFC® 118,"Aug 28, 2010",EDGAR vs PENN 2,Win,Dan Miller
7,Michael Bisping,Dan Miller,UFC® 114,"May 29, 2010",RAMPAGE vs EVANS,Loss,Dan Miller
8,Demian Maia,Dan Miller,UFC® 109,"Feb 6, 2010",RELENTLESS,Loss,Dan Miller
9,Chael Sonnen,Dan Miller,UFC® 98,"May 23, 2009",EVANS vs MACHIDA,Loss,Dan Miller
10,Dan Miller,Jake Rosholt,UFC® Fight Night™,"Feb 7, 2009",LAUZON vs STEPHENS,Win,Dan Miller
11,Dan Miller,Matt Horwich,UFC® 90,"Oct 25, 2008",SILVA vs COTE,Win,Dan Miller
12,Dan Miller,Rob Kimmons,UFC® Fight Night™,"Sep 17, 2008",Diaz vs Neer,Win,Dan Miller
13,Dan Miller,Ryan McGivern,IFL - Connecticut 2008,"May 16, 2008",,Win,Dan Miller
14,Dan Miller,Dave Phillips,IFL - 2007 Semifinals,"Aug 2, 2007",,Win,Dan Miller
0,Che Mills,Matthew Riddle,UFC London Interim Bantamweight Title Fight,"Feb 16, 2013",Barao vs. McDonald,NO CONTEST,Che Mills
1,Che Mills,Duane Ludwig,UFC®,"Sep 29, 2012",Struve vs. Miocic,Win,Che Mills
2,Rory MacDonald,Che Mills,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Loss,Che Mills
3,Chris Cope,Che Mills,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Win,Che Mills
0,Mario Miranda,Aaron Simpson,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Loss,Mario Miranda
1,Demian Maia,Mario Miranda,UFC® 118,"Aug 28, 2010",EDGAR vs PENN 2,Loss,Mario Miranda
2,David Loiseau,Mario Miranda,UFC® 115,"Jun 12, 2010",LIDDELL vs. FRANKLIN,Win,Mario Miranda
3,Gerald Harris,Mario Miranda,UFC® Fight Night™ 21,"Mar 31, 2010",FLORIAN vs GOMI,Loss,Mario Miranda
0,Wang Sai,Danny Mitchell,UFC Fight Night Bisping vs. Le,"Aug 23, 2014",UFC FIGHT PASS,Loss,Danny Mitchell
1,Igor Araujo,Danny Mitchell,UFC Fight Night Gustafsson vs. Manuwa,"Mar 8, 2014",UFC Fight Pass,Loss,Danny Mitchell
0,Yan Cabral,David Mitchell,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Loss,David Mitchell
1,Mike Pierce,David Mitchell,UFC 162 Live from Las Vegas,"Jul 6, 2013",Silva vs. Weidman,Loss,David Mitchell
2,Simeon Thoresen,David Mitchell,UFC,"Jan 26, 2013",Johnson vs. Dodson,Win,David Mitchell
3,Paulo Thiago,David Mitchell,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Loss,David Mitchell
4,TJ Waldburger,David Mitchell,UFC® Fight Night™,"Sep 15, 2010",:MARQUARDT vs PALHARES,Loss,David Mitchell
0,Travis Browne,Matt Mitrione,UFC Fight Night Dillashaw vs. Cruz,"Jan 17, 2016",TSN 5,Loss,Matt Mitrione
1,Ben Rothwell,Matt Mitrione,UFC Fight Night Boetsch vs. Henderson,"Jun 6, 2015",TSN 5,Loss,Matt Mitrione
