,fighter1,fighter2,event_name,event_date,details,result,fighter_name
2,John Dodson,Pedro Munhoz,UFC 222 Cyborg vs Kunitskaya,"Mar 3, 2018",Live on Pay-Per-View,Loss,Pedro Munhoz
3,Pedro Munhoz,Rob Font,UFC Fight Night Machida vs Brunson,"Oct 28, 2017",Live on TSN 2,Win,Pedro Munhoz
4,Pedro Munhoz,Damian Stasiak,UFC Fight Night Gustafsson vs Teixeira,"May 28, 2017",Live on TSN 5,Win,Pedro Munhoz
5,Pedro Munhoz,Justin Scoggins,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Win,Pedro Munhoz
6,Russell Doane,Pedro Munhoz,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Win,Pedro Munhoz
7,Pedro Munhoz,Jimmie Rivera,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Loss,Pedro Munhoz
8,Pedro Munhoz,Jerrod Sanders,UFC Fight Night MacDonald vs. Saffiedine,"Oct 4, 2014",Sportsnet 360,NO CONTEST,Pedro Munhoz
9,Pedro Munhoz,Matt Hobar,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,Win,Pedro Munhoz
10,Raphael Assuncao,Pedro Munhoz,UFC 170 Rousey vs. McMann,"Feb 22, 2014",Live on Pay-Per-View,Loss,Pedro Munhoz
0,Sijara Eubanks,Lauren Murphy,UFC Fight Night Rivera vs Moraes,"Jun 1, 2018",Live on TSN 2,Loss,Lauren Murphy
1,Barb Honchak,Lauren Murphy,The Ultimate Fighter 26 Finale,"Dec 1, 2017",,Win,Lauren Murphy
2,Lauren Murphy,Katlyn Chookagian,UFC Fight Night McDonald vs Lineker,"Jul 13, 2016",Live on TSN 2,Loss,Lauren Murphy
3,Lauren Murphy,Kelly Faszholz,UFC Fight Night Cowboy vs. Cowboy,"Feb 21, 2016",Live on TSN 2,Win,Lauren Murphy
4,Liz Carmouche,Lauren Murphy,UFC Fight Night Mendes vs. Lamas,"Apr 4, 2015",TSN 2,Loss,Lauren Murphy
5,Sara McMann,Lauren Murphy,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Loss,Lauren Murphy
0,Khalid Murtazaliev,CB Dollaway,UFC Fight Night Hunt vs Oleinik,"Sep 15, 2018",Live on Fight Network,Win,Khalid Murtazaliev
0,Nico Musoke,Bojan Velickovic,UFC Fight Night Gustafsson vs Teixeira,"May 28, 2017",Live on TSN 5,Loss,Nico Musoke
1,Nico Musoke,Albert Tumenov,UFC Fight Night Gustafsson vs. Johnson,"Jan 24, 2015",Live on TSN 4,Loss,Nico Musoke
2,Nico Musoke,Alexander Yakovlev,UFC Fight Night Nelson vs. Story,"Oct 4, 2014",UFC FIGHT PASS,Win,Nico Musoke
3,Kelvin Gastelum,Nico Musoke,UFC Fight Night Swanson vs. Stephens,"Jun 28, 2014",Sportsnet 360,Loss,Nico Musoke
4,Viscardi Andrade,Nico Musoke,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Win,Nico Musoke
5,Alessio Sakara,Nico Musoke,UFC Fight Night Live on Sportsnet,"Oct 26, 2013",Machida vs. Munoz,Win,Nico Musoke
0,Kevin Lee,Magomed Mustafaev,UFC Fight Night Mousasi vs Hall 2,"Nov 19, 2016",Live on Fight Network & UFC FIGHT PASS,Loss,Magomed Mustafaev
1,Joe Proctor,Magomed Mustafaev,UFC 194 Aldo vs McGregor,"Dec 12, 2015",Live on Pay-Per-View,Win,Magomed Mustafaev
2,Piotr Hallmann,Magomed Mustafaev,UFC Fight Night Jedrzejczyk vs. Penne,"Jun 20, 2015",Fight Network,Win,Magomed Mustafaev
0,Keita Nakamura,Salim Touahri,UFC Fight Night,"Dec 1, 2018",Dos Santos vs. Tuivasa,UPCOMING,Keita Nakamura
1,Tony Martin,Keita Nakamura,UFC Fight Night Barboza vs Lee,"Apr 21, 2018",Live on TSN 5,Loss,Keita Nakamura
2,Keita Nakamura,Alex Morono,UFC Fight Night Shogun vs Saint Preux 2,"Sep 22, 2017",Live on TSN 2 and RDS 2,Win,Keita Nakamura
3,Keita Nakamura,Elizeu Zaleski dos Santos,UFC Fight Night Lineker vs Dodson,"Oct 1, 2016",Live on TSN 2,Loss,Keita Nakamura
